State, FacilityName, FacilityID, UnitID, Year, Latitude,Longitude
AL,E B Harris Generating Plant,7897,1A,2010,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,1A,2011,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,1A,2012,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,1A,2013,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,1A,2014,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,1B,2010,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,1B,2011,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,1B,2012,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,1B,2013,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,1B,2014,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,2A,2010,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,2A,2011,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,2A,2012,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,2A,2013,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,2A,2014,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,2B,2010,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,2B,2011,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,2B,2012,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,2B,2013,32.3814,-86.5736
AL,E B Harris Generating Plant,7897,2B,2014,32.3814,-86.5736
AL,E C Gaston,26,1,2010,33.2442,-86.4567
AL,E C Gaston,26,1,2011,33.2442,-86.4567
AL,E C Gaston,26,1,2012,33.2442,-86.4567
AL,E C Gaston,26,1,2013,33.2442,-86.4567
AL,E C Gaston,26,1,2014,33.2442,-86.4567
AL,E C Gaston,26,2,2010,33.2442,-86.4567
AL,E C Gaston,26,2,2011,33.2442,-86.4567
AL,E C Gaston,26,2,2012,33.2442,-86.4567
AL,E C Gaston,26,2,2013,33.2442,-86.4567
AL,E C Gaston,26,2,2014,33.2442,-86.4567
AL,E C Gaston,26,3,2010,33.2442,-86.4567
AL,E C Gaston,26,3,2011,33.2442,-86.4567
AL,E C Gaston,26,3,2012,33.2442,-86.4567
AL,E C Gaston,26,3,2013,33.2442,-86.4567
AL,E C Gaston,26,3,2014,33.2442,-86.4567
AL,E C Gaston,26,4,2010,33.2442,-86.4567
AL,E C Gaston,26,4,2011,33.2442,-86.4567
AL,E C Gaston,26,4,2012,33.2442,-86.4567
AL,E C Gaston,26,4,2013,33.2442,-86.4567
AL,E C Gaston,26,4,2014,33.2442,-86.4567
AL,E C Gaston,26,5,2010,33.2442,-86.4567
AL,E C Gaston,26,5,2011,33.2442,-86.4567
AL,E C Gaston,26,5,2012,33.2442,-86.4567
AL,E C Gaston,26,5,2013,33.2442,-86.4567
AL,E C Gaston,26,5,2014,33.2442,-86.4567
AL,Gadsden,7,1,2010,34.0128,-85.9708
AL,Gadsden,7,1,2011,34.0128,-85.9708
AL,Gadsden,7,1,2012,34.0128,-85.9708
AL,Gadsden,7,1,2013,34.0128,-85.9708
AL,Gadsden,7,1,2014,34.0128,-85.9708
AL,Gadsden,7,2,2010,34.0128,-85.9708
AL,Gadsden,7,2,2011,34.0128,-85.9708
AL,Gadsden,7,2,2012,34.0128,-85.9708
AL,Gadsden,7,2,2013,34.0128,-85.9708
AL,Gadsden,7,2,2014,34.0128,-85.9708
AL,Gorgas,8,10,2010,33.6446,-87.2003
AL,Gorgas,8,10,2011,33.6446,-87.2003
AL,Gorgas,8,10,2012,33.6446,-87.2003
